date,hits,keyword,geo,time,gprop,category,movie
2025-04-13,79,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-04-20,83,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-04-27,100,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-05-04,82,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-05-11,78,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-05-18,67,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-05-25,78,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-06-01,68,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-06-08,68,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-06-15,70,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-06-22,64,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-06-29,64,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-07-06,70,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-07-13,75,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-07-20,78,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-07-27,88,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-08-03,86,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-08-10,78,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-08-17,76,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-08-24,72,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
2025-08-31,65,Deadpool Wolverine,,2025-04-12 2026-04-11,,0,Deadpool & Wolverine
