movie,imdb_tconst,imdb_primary_title,imdb_original_title,imdb_start_year,imdb_runtime_minutes,imdb_genres,imdb_rating,imdb_votes,imdb_snapshot_date
Deadpool & Wolverine,tt6263850,Deadpool & Wolverine,Deadpool & Wolverine,2024,128,"Action,Adventure,Comedy",7.5,564469,2026-04-15 20:13:39.244396+00:00
Dune 2,tt15239678,Dune: Part Two,Dune: Part Two,2024,166,"Action,Adventure,Drama",8.4,733875,2026-04-15 20:13:39.244396+00:00
