movie,author,degree_centrality,betweenness_centrality,in_degree,out_degree
Dune 2,jupiterkansas,0.0033,0.0,0,1
Dune 2,bobbery5,0.0033,0.0,0,1
Dune 2,MatterOk851,0.0033,0.0,0,1
Dune 2,tzulik-,0.0033,0.0,0,1
Dune 2,rufusatrazzmattaz,0.0033,0.0,0,1
Dune 2,Tevesh_CKP,0.0033,0.0,0,1
Dune 2,Jakethrowsdwn,0.0033,0.0,0,1
Dune 2,zieminski,0.0033,0.0,0,1
Dune 2,VirtuesVice666,0.0033,0.0,0,1
Dune 2,Elegant-Hair-7873,0.0033,0.0,0,1
Dune 2,PM_ME_DATASETS,0.0033,0.0,0,1
Dune 2,MopvivII,0.0033,0.0,0,1
Dune 2,ReplaceSelect,0.0033,0.0,0,1
Dune 2,SirPlus,0.0033,0.0,0,1
Dune 2,evilprozac79,0.0033,0.0,0,1
Dune 2,colder-beef,0.0033,0.0,0,1
Dune 2,Individual_Abies_850,0.0033,0.0,0,1
Dune 2,Spirited_Alfalfa_343,0.0033,0.0,0,1
Dune 2,xander6981,0.0033,0.0,0,1
Dune 2,MiddleAgedGeek,0.0033,0.0,1,0
Dune 2,NewMathematician623,0.0033,0.0,0,1
Dune 2,New_Brother_1595,0.0033,0.0,0,1
Dune 2,rotterdamn8,0.0033,0.0,0,1
Dune 2,Faceluck,0.0033,0.0,0,1
Dune 2,PaladinMax,0.0033,0.0,0,1
Dune 2,mormonbatman_,0.0033,0.0,0,1
Dune 2,Jeter0002,0.0033,0.0,0,1
Dune 2,MobWacko1000,0.0033,0.0,0,1
Dune 2,bismarckfairy,0.0033,0.0,0,1
Dune 2,APracticalGal,0.0033,0.0,0,1
Dune 2,TheZoneHereros,0.0033,0.0,0,1
Dune 2,moonra_zk,0.0033,0.0,0,1
Dune 2,numbernumber99,0.0033,0.0,0,1
Dune 2,UGLYSimon,0.0033,0.0,0,1
Dune 2,Mister_Sosotris,0.0033,0.0,0,1
Dune 2,SoothingDisarray,0.0033,0.0,0,1
Dune 2,watchman28,0.0033,0.0,0,1
Dune 2,dowker1,0.0033,0.0,0,1
Dune 2,Main_Caterpillar_146,0.0033,0.0,0,1
Dune 2,AprilTron,0.0033,0.0,0,1
Dune 2,moviesandbasketball,0.0033,0.0,0,1
Dune 2,IndependenceMean8774,0.0033,0.0,0,1
Dune 2,MichaelHalcyon,0.0033,0.0,0,1
Dune 2,TostedAlmond,0.0033,0.0,0,1
Dune 2,Oddgenetix,0.0033,0.0,0,1
Dune 2,wildskipper,0.0033,0.0,0,1
Dune 2,ialwaysfalloverfirst,0.0033,0.0,0,1
Dune 2,Chartate101,0.0033,0.0,0,1
Dune 2,JasonTO,0.0033,0.0,0,1
Dune 2,MentatYP,0.0033,0.0,0,1
Dune 2,Wolfeman0101,0.0033,0.0,0,1
Dune 2,Adius_Omega,0.0033,0.0,0,1
Dune 2,whiteezy,0.0033,0.0,0,1
Dune 2,beachteen,0.0033,0.0,0,1
Dune 2,JrdnRgrs,0.0033,0.0,0,1
Dune 2,IDontCheckMyMail,0.0033,0.0,0,1
Dune 2,selkies24,0.0033,0.0,0,1
Dune 2,a_moss_snake,0.0033,0.0,0,1
Dune 2,mickeyflinn,0.0033,0.0,0,1
Dune 2,Other-Marketing-6167,0.0033,0.0,0,1
Dune 2,Spagetti13,0.0033,0.0,0,1
Dune 2,Proxymelon,0.0033,0.0,0,1
Dune 2,GJacks75,0.0033,0.0,0,1
Dune 2,TheLostLuminary,0.0033,0.0,0,1
Dune 2,gunter_grass,0.0033,0.0,0,1
Dune 2,imdethisforyou,0.0033,0.0,0,1
Dune 2,Flan_man69,0.0033,0.0,0,1
Dune 2,JonPaula,0.0033,0.0,0,1
Dune 2,Flat_Ad3019,0.0033,0.0,0,1
Dune 2,xx4xx,0.0033,0.0,0,1
Dune 2,Djinnwrath,0.0033,0.0,0,1
Dune 2,littlelordfROY,0.0033,0.0,0,1
Dune 2,Reasonable-HB678,0.0033,0.0,0,1
Dune 2,cnot3,0.0033,0.0,0,1
Dune 2,Chippers4242,0.0033,0.0,0,1
Dune 2,NGNSteveTheSamurai,0.0033,0.0,0,1
Dune 2,Krilesh,0.0033,0.0,0,1
Dune 2,KittyMeowKatPishy,0.0033,0.0,0,1
Dune 2,GGAllinsUndies,0.0033,0.0,0,1
Dune 2,Sparrow1989,0.0033,0.0,0,1
Dune 2,coolbrownbear-on,0.0033,0.0,0,1
Dune 2,ebimbib,0.0033,0.0,0,1
Dune 2,tire_swing,0.0033,0.0,0,1
Dune 2,danhibiki337,0.0033,0.0,0,1
Dune 2,chudsworth,0.0033,0.0,0,1
Dune 2,guilty_bystander,0.0033,0.0,0,1
Dune 2,straub42,0.0033,0.0,0,1
Dune 2,Seraph199,0.0033,0.0,0,1
Dune 2,krybtekorset,0.0033,0.0,0,1
Dune 2,vipros42,0.0033,0.0,0,1
Dune 2,TheCowboyIsAnIndian,0.0033,0.0,0,1
Dune 2,horngrylesbian,0.0033,0.0,0,1
Dune 2,Infamous-Lab-8136,0.0033,0.0,0,1
Dune 2,Eugenes_Axe,0.0033,0.0,0,1
Dune 2,arabesuku,0.0033,0.0,0,1
Dune 2,PushTheGooch,0.0033,0.0,0,1
Dune 2,josephthemediocre,0.0033,0.0,0,1
Dune 2,Shdwrptr,0.0033,0.0,0,1
Dune 2,Wedbo,0.0033,0.0,0,1
Dune 2,o_o_o_f,0.0033,0.0,0,1
Dune 2,Ex_Lives,0.0033,0.0,0,1
Dune 2,StrawberryPlucky,0.0033,0.0,0,1
Dune 2,AceTheRed_,0.0033,0.0,0,1
Dune 2,Benjamin_Stark,0.0033,0.0,0,1
Dune 2,iSOBigD,0.0033,0.0,0,1
Dune 2,amhighlyregarded,0.0033,0.0,0,1
Dune 2,shootymcghee,0.0033,0.0,0,1
Dune 2,manofth3match,0.0033,0.0,0,1
Dune 2,EntrepreneurOver5495,0.0033,0.0,0,1
Dune 2,Prestigious_Bit_2571,0.0033,0.0,0,1
Dune 2,thebananaman267,0.0033,0.0,0,1
Dune 2,obesefamily,0.0033,0.0,0,1
Dune 2,Haxorz7125,0.0033,0.0,0,1
Dune 2,MsCandi123,0.0033,0.0,0,1
Dune 2,bloopbleepblorpJr,0.0033,0.0,0,1
Dune 2,NoFocus2240,0.0033,0.0,0,1
Dune 2,munistadium,0.0033,0.0,0,1
Dune 2,Dogbin005,0.0033,0.0,0,1
Dune 2,Alive_Ice7937,0.0033,0.0,0,1
Dune 2,Tosslebugmy,0.0033,0.0,0,1
Dune 2,Professional-Two8098,0.0033,0.0,0,1
Dune 2,matt314159,0.0033,0.0,0,1
Dune 2,bluemidnightrider,0.0033,0.0,0,1
Dune 2,Hobo-man,0.0033,0.0,0,1
Dune 2,ElahaSanctaSedes777,0.0033,0.0,0,1
Dune 2,orionl72,0.0033,0.0,0,1
Dune 2,Astro_gamer_caver,0.0033,0.0,0,1
Dune 2,Relevant_Addendum534,0.0033,0.0,0,1
Dune 2,Inner-Research-662,0.0033,0.0,0,1
Dune 2,ragnarok635,0.0033,0.0,0,1
Dune 2,STL_Tiger21,0.0033,0.0,0,1
Dune 2,Secret-Target-8709,0.0033,0.0,0,1
Dune 2,OzJitsuSD,0.0033,0.0,0,1
Dune 2,pandacorn,0.0033,0.0,0,1
Dune 2,UtahJohnnyMontana,0.0033,0.0,0,1
Dune 2,Chak-Ek,0.0033,0.0,0,1
Dune 2,m0rbius,0.0033,0.0,0,1
Dune 2,Plathismo,0.0033,0.0,0,1
Dune 2,Ian_Storm,0.0033,0.0,0,1
Dune 2,unagi_pi,0.0033,0.0,0,1
Dune 2,LorenzoStomp,0.0033,0.0,0,1
Dune 2,Formal_Cherry_8177,0.0033,0.0,0,1
Dune 2,Qwak8tack,0.0033,0.0,0,1
Dune 2,McDankMeister,0.0033,0.0,0,1
Dune 2,Indrigotheir,0.0033,0.0,0,1
Dune 2,x_lincoln_x,0.0033,0.0,0,1
Dune 2,aroused_axlotl007,0.0033,0.0,0,1
Dune 2,99thLuftballon,0.0033,0.0,0,1
Dune 2,Super901,0.0033,0.0,0,1
Dune 2,atreyu720,0.0033,0.0,0,1
Dune 2,RoastBeefer,0.0033,0.0,0,1
Dune 2,Head_Item6955,0.0033,0.0,0,1
Dune 2,UMK3RunButton,0.0033,0.0,0,1
Dune 2,King_Dirt6782,0.0033,0.0,0,1
