feature,coefficient
avg_sentiment,117.8507452198054
n_comments,83.43580716634476
sentiment_volatility,12.833336302427552
engagement_ratio,4.349790975117559
avg_text_length,0.10728947688409107
hype_score,-9.482690822038464
log_mentions,-37.02798463471212
mentions,-76.19962185429883
net_sentiment,-124.30157476761684
