movie,imdb_rating,imdb_votes,imdb_runtime_minutes,imdb_genres,imdb_primary_title
Deadpool & Wolverine,7.5,564469.0,128,"Action,Adventure,Comedy",Deadpool & Wolverine
Dune 2,8.4,733875.0,166,"Action,Adventure,Drama",Dune: Part Two
