,mentions,n_comments,avg_sentiment,net_sentiment,engagement_ratio,sentiment_volatility,log_mentions,hype_score,avg_text_length,target_google_hits_next,google_hits
mentions,1.0,0.9995042615155711,-0.09442758287897199,-0.25700642416159086,0.1604980832106876,-0.3085938875955247,0.9459124737530996,0.5570582707919238,-0.04390748636519268,0.47929755558260534,0.28203814845604297
n_comments,0.9995042615155711,1.0,-0.0857499508386282,-0.2474562422453585,0.18902831574033593,-0.3180905165930957,0.9497536360069573,0.5673434665463826,-0.03272007059658044,0.4872926718771357,0.28147057668960596
avg_sentiment,-0.09442758287897199,-0.0857499508386282,1.0,0.9364001377158079,0.22438620965935874,-0.16988172646189706,-0.10210334898627495,0.5809789820472427,0.09496809725067266,-0.013572232483429226,-0.40116151557661994
net_sentiment,-0.25700642416159086,-0.2474562422453585,0.9364001377158079,1.0,0.2575714864756799,0.006848451267154257,-0.26396096136170655,0.40314043302852115,0.2963007496881176,-0.07648120678302582,-0.4032288374467297
engagement_ratio,0.1604980832106876,0.18902831574033593,0.22438620965935874,0.2575714864756799,1.0,-0.36775230528432357,0.2607399469906345,0.21427935258183778,0.2445682556264389,0.13983601663042772,-0.20842518448689054
sentiment_volatility,-0.3085938875955247,-0.3180905165930957,-0.16988172646189706,0.006848451267154257,-0.36775230528432357,1.0,-0.41361606116177196,-0.37314620415870636,0.21678062176510504,0.307588744455703,0.4079837176512119
log_mentions,0.9459124737530996,0.9497536360069573,-0.10210334898627495,-0.26396096136170655,0.2607399469906345,-0.41361606116177196,1.0,0.5364730300798785,0.07282980612195285,0.47146876150991424,0.3056105357726235
hype_score,0.5570582707919238,0.5673434665463826,0.5809789820472427,0.40314043302852115,0.21427935258183778,-0.37314620415870636,0.5364730300798785,1.0,0.05613600148365589,0.44150737169641646,0.1668771749506906
avg_text_length,-0.04390748636519268,-0.03272007059658044,0.09496809725067266,0.2963007496881176,0.2445682556264389,0.21678062176510504,0.07282980612195285,0.05613600148365589,1.0,0.42810687252648266,0.36595429639468396
target_google_hits_next,0.47929755558260534,0.4872926718771357,-0.013572232483429226,-0.07648120678302582,0.13983601663042772,0.307588744455703,0.47146876150991424,0.44150737169641646,0.42810687252648266,1.0,0.8213099154556314
google_hits,0.28203814845604297,0.28147057668960596,-0.40116151557661994,-0.4032288374467297,-0.20842518448689054,0.4079837176512119,0.3056105357726235,0.1668771749506906,0.36595429639468396,0.8213099154556314,1.0
