feature,importance
hype_score,0.2637990346543947
avg_text_length,0.20407376254860948
mentions,0.14597421525397097
n_comments,0.13954550826475834
log_mentions,0.13489512246219612
avg_sentiment,0.030918993700230074
sentiment_volatility,0.030882537076695825
net_sentiment,0.030267871909796427
engagement_ratio,0.019642954129348092
